Rank,Name,City & State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Composite Range,ACT Composite Range,Website
#177,George Mason University,"Fairfax, VA",Public,"32,249","35,984","$19,779","$8,567","$51,672","$105,700",81%,1100-1290,24-30,www.gmu.edu
#178,Chapman University,"Orange, CA",Private,"6,756","9,392","$39,228","$26,378","$69,464","$99,400",57%,1190-1360,25-30,www.chapman.edu
#179,Muhlenberg College,"Allentown, PA",Private,"2,367","2,535","$31,014","$25,282","$65,330","$101,900",48%,1140-1340,25-30,www.muhlenberg.edu
#180,Marquette University,"Milwaukee, WI",Private,"8,486","11,426","$29,120","$20,717","$55,273","$105,900",89%,1130-1310,24-29,www.marquette.edu
#181,San Diego State University,"San Diego, CA",Public,"31,609","35,158","$14,030","$7,549","$40,104","$102,800",35%,1090-1290,23-28,www.sdsu.edu
#182,Northeastern University,"Boston, MA",Private,"18,760","21,489","$29,748","$34,691","$68,177","$109,700",27%,1370-1520,32-34,www.northeastern.edu
#183,"University of California, Santa Cruz","Santa Cruz, CA",Public,"17,925","19,457","$17,877","$18,050","$64,054","$104,700",51%,1160-1340,26-31,www.ucsc.edu
#184,Lewis &amp; Clark College,"Portland, OR",Private,"2,174","3,339","$34,838","$25,539","$62,086","$93,200",71%,1210-1390,27-31,www.lclark.edu
#185,Miami University (OH),"Oxford, OH",Public,"18,239","19,700","$21,288","$11,894","$51,064","$107,300",68%,1190-1380,26-31,miamioh.edu
#186,"Arizona State University, Tempe","Tempe, AZ",Public,"46,038","51,164","$11,163","$12,081","$44,110","$100,900",84%,1120-1350,22-29,www.asu.edu
#187,University of Utah,"Salt Lake City, UT",Public,"28,686","32,800","$13,728","$7,990","$42,916","$102,600",66%,1110-1350,22-29,www.utah.edu
#188,"University of Oklahoma, Norman","Norman, OK",Public,"24,255","28,527","$19,254","$9,372","$43,764","$100,600",74%,1150-1380,23-29,www.ou.edu
#189,Marist College,"Poughkeepsie, NY",Private,"6,236","6,657","$35,290","$15,637","$54,880","$101,000",43%,N/A,N/A,www.marist.edu
#190,Hobart and William Smith Colleges,"Geneva, NY",Private,"2,244","2,295","$35,172","$25,110","$69,775","$108,500",64%,1150-1330,25-30,www.hws.edu
#191,University of Oregon,"Eugene, OR",Public,"22,400","22,887","$15,693","$8,662","$49,542","$95,800",83%,1080-1270,22-28,www.uoregon.edu
#192,Drake University,"Des Moines, IA",Private,"3,606","4,904","$27,578","$21,239","$54,020","$99,900",69%,1100-1350,24-30,www.drake.edu
#193,Lawrence University,"Appleton, WI",Private,"1,467","1,545","$25,117","$28,643","$58,458","$98,800",61%,1220-1460,25-32,www.lawrence.edu
#194,Creighton University,"Omaha, NE",Private,"4,626","8,654","$30,427","$20,293","$53,452","$95,800",72%,1070-1290,25-30,www.creighton.edu
#195,Hillsdale College,"Hillsdale, MI",Private,"1,520","1,556",N/A,"$18,540","$40,552",N/A,41%,1280-1440,28-32,www.hillsdale.edu
#196,University at Buffalo (SUNY),"Buffalo, NY",Public,"23,075","30,648","$17,469","$8,198","$43,398","$98,000",57%,1080-1260,24-28,www.buffalo.edu
#197,University of Tulsa,"Tulsa, OK",Private,"3,630","4,433","$23,948","$31,812","$59,435","$107,200",39%,1150-1440,25-32,www.utulsa.edu
#198,University of Saint Thomas (MN),"St. Paul, MN",Private,"6,424","9,878","$30,503","$21,274","$54,647","$106,400",84%,1090-1330,24-29,www.stthomas.edu
#199,"University of California, Riverside","Riverside, CA",Public,"21,017","23,279","$12,344","$21,249","$62,677","$106,900",57%,1090-1300,23-29,ucr.edu
#200,Manhattan College,"Riverdale, NY",Private,"3,727","4,242","$30,243","$18,177","$60,212","$125,700",75%,1050-1243,23-28,www.manhattan.edu
#201,University of South Carolina,"Columbia, SC",Public,"26,791","34,731","$19,519","$5,792","$47,162","$89,900",72%,1170-1330,25-30,www.sc.edu
#202,Baylor University,"Waco, TX",Private,"14,951","17,059","$34,898","$21,350","$60,233","$101,400",39%,1190-1360,26-31,www.baylor.edu
#203,Bryant University,"Smithfield, RI",Private,"3,503","3,751","$37,730","$20,675","$59,904","$108,600",73%,N/A,N/A,www.bryant.edu
#204,University of Mary Washington,"Fredericksburg, VA",Public,"4,800","4,808","$21,227","$5,562","$42,716","$98,200",73%,1080-1260,22-27,www.umw.edu
#205,Virginia Military Institute,"Lexington, VA",Public,"1,722","1,766","$19,905","$14,434","$56,288","$120,600",53%,1100-1280,23-28,www.vmi.edu
#206,Clark University (MA),"Worcester, MA",Private,"2,476","3,153","$27,004","$24,329","$55,010","$101,400",56%,N/A,N/A,www.clarku.edu
#207,Clarkson University,"Potsdam, NY",Private,"3,335","4,233","$30,563","$32,540","$66,106","$130,100",66%,1143-1330,24-29,www.clarkson.edu
#208,Illinois Institute of Technology,"Chicago, IL",Private,"3,227","7,164","$22,098","$34,485","$63,749","$118,500",54%,1230-1410,25-31,www.iit.edu
#209,Centre College,"Danville, KY",Private,"1,443","1,450","$23,237","$26,184","$53,910","$88,500",76%,1170-1410,26-31,www.centre.edu
#210,University of San Francisco,"San Francisco, CA",Private,"7,495","11,063","$32,210","$27,943","$65,980","$109,900",66%,1100-1290,22-28,www.usfca.edu
#211,Iowa State University,"Ames, IA",Public,"32,814","36,158","$14,331","$7,882","$34,442","$101,300",89%,1160-1410,22-28,www.iastate.edu
#212,Louisiana State University,"Baton Rouge, LA",Public,"27,658","30,861","$18,181","$9,304","$46,381","$102,900",74%,1060-1290,23-28,www.lsu.edu
#213,Willamette University,"Salem, OR",Private,"2,181","2,498","$28,327","$27,489","$62,262","$97,700",89%,N/A,N/A,www.willamette.edu
#214,Gustavus Adolphus College,"St. Peter, MN",Private,"2,181","2,263","$20,050","$24,333","$55,800","$96,800",68%,N/A,N/A,https://gustavus.edu
#215,Quinnipiac University,"Hamden, CT",Private,"7,704","10,200","$38,695","$22,460","$63,770","$97,700",74%,1080-1260,23-27,www.quinnipiac.edu
#216,Butler University,"Indianapolis, IN",Private,"4,311","5,145","$36,413","$16,348","$56,740","$99,300",65%,1150-1320,25-30,www.butler.edu
#217,"SUNY, College of Environmental Science and Forestry","Syracuse, NY",Public,"1,825","2,213","$17,923","$7,628","$36,953","$97,000",52%,1150-1300,24-28,www.esf.edu
#218,University of Arizona,"Tucson, AZ",Public,"36,862","43,751","$14,744","$11,272","$51,707","$101,000",84%,N/A,N/A,www.arizona.edu
#219,"University of Missouri, Columbia","Columbia, MO",Public,"27,923","30,844","$18,602","$9,316","$43,330","$98,600",78%,1120-1350,23-29,www.missouri.edu
#220,The Citadel,"Charleston, SC",Public,"3,043","3,717","$17,935","$11,281","$50,506","$108,100",81%,1020-1220,20-25,www.citadel.edu/root
#221,University of Washington Bothell,"Bothell, WA",Public,"5,981","6,175","$9,822","$12,946","$51,348","$108,000",80%,1030-1230,19-26,https://www.uwb.edu
#222,Emerson College,"Boston, MA",Private,"4,088","4,459","$43,965","$20,323","$65,324","$94,300",46%,1200-1360,26-30,www.emerson.edu
#223,"Colorado State University, Fort Collins","Fort Collins, CO",Public,"28,404","33,083","$17,058","$8,221","$43,437","$96,100",83%,1100-1300,22-28,www.colostate.edu
#224,"University of Tennessee, Knoxville","Knoxville, TN",Public,"23,803","28,321","$19,335","$8,903","$49,350","$95,100",77%,1140-1310,24-30,www.utk.edu
#225,Taylor University,"Upland, IN",Private,"2,145","2,831","$24,525","$17,726","$45,330","$90,600",87%,1045-1290,22-29,www.taylor.edu
#226,Drexel University,"Philadelphia , PA",Private,"17,789","24,190","$37,427","$28,767","$68,792","$114,800",79%,1160-1360,24-30,www.drexel.edu
#227,Stonehill College,"Easton, MA",Private,"2,498","2,536","$32,911","$22,865","$59,560","$103,200",72%,N/A,N/A,www.stonehill.edu
#228,University of South Florida,"Tampa, FL",Public,"37,076","43,540","$11,700","$7,937","$32,324","$91,300",45%,1150-1310,24-29,www.usf.edu
#229,St. Mary's College of Maryland,"St. Mary's City, MD",Public,"1,598","1,746","$21,025","$8,414","$45,130","$95,400",82%,1070-1290,22-28,www.smcm.edu
#230,Bard College,"Annandale-on-Hudson, NY",Private,"2,101","2,293","$26,766","$39,096","$70,562","$90,600",58%,N/A,N/A,www.bard.edu
#231,Washington State University,"Pullman, WA",Public,"27,917","30,614","$16,314","$8,572","$41,675","$103,700",73%,1020-1220,20-26,www.wsu.edu
#232,Truman State University,"Kirksville, MO",Public,"6,272","6,289","$12,537","$8,778","$27,878","$85,800",67%,1185-1420,24-30,www.truman.edu
#233,Illinois Wesleyan University,"Bloomington, IL",Private,"1,649","1,791","$26,976","$26,421","$58,830","$96,000",61%,1195-1395,24-29,www.iwu.edu
#234,"St. John's College, Annapolis","Annapolis, MD",Private,445,513,"$26,808","$33,723","$65,409",N/A,54%,1280-1450,26-32,stjohnscollege.edu
#235,"SUNY, Geneseo","Geneseo, NY",Public,"5,652","5,792","$18,879","$6,708","$34,740","$93,300",72%,1120-1300,24-29,geneseo.edu
#236,Westmont College,"Santa Barbara, CA",Private,"1,300","1,356","$31,039","$26,711","$60,930","$102,400",85%,1130-1380,23-30,www.westmont.edu
#237,Cedarville University,"Cedarville, OH",Private,"3,666","3,886","$21,490","$14,155","$39,194","$87,300",71%,1130-1350,23-29,www.cedarville.edu
#238,University of the Pacific (CA),"Stockton, CA",Private,"3,639","6,255","$29,171","$26,884","$64,796","$109,300",65%,1070-1330,22-30,www.pacific.edu
#239,"University of Nebraska, Lincoln","Lincoln, NE",Public,"22,012","26,079","$17,784","$8,538","$40,182","$96,700",64%,1100-1380,22-29,www.unl.edu
#240,"University of Texas, Dallas","Richardson, TX",Public,"18,764","27,642","$14,763","$14,321","$45,488","$100,900",76%,1220-1430,26-32,www.utdallas.edu
#241,Rollins College,"Winter Park, FL",Private,"2,894","3,278","$30,194","$30,057","$67,775","$87,000",64%,N/A,N/A,www.rollins.edu
#242,University of Central Florida,"Orlando, FL",Public,"65,100","66,059","$15,286","$5,757","$38,353","$88,600",50%,1150-1320,24-29,www.ucf.edu
#243,Ithaca College,"Ithaca, NY",Private,"6,488","6,516","$33,848","$25,073","$61,339","$98,600",71%,N/A,N/A,www.ithaca.edu
#244,DePaul University,"Chicago, IL",Private,"17,838","22,769","$30,502","$20,387","$56,275","$102,900",72%,N/A,N/A,www.depaul.edu/Pages/default.aspx
#245,Missouri University of Science and Technology,"Rolla, MO",Public,"7,192","8,883","$14,473","$8,975","$38,684","$122,600",84%,1100-1340,25-31,www.mst.edu
#246,University of New Hampshire,"Durham, NH",Public,"13,688","15,363","$24,529","$12,539","$47,570","$100,300",77%,1070-1260,23-28,www.unh.edu
#247,Hope College,"Holland, MI",Private,"3,150","3,281","$26,175","$15,907","$45,410","$90,900",74%,1090-1320,24-29,hope.edu
#248,Loyola University Chicago,"Chicago, IL",Private,"12,864","16,673","$33,036","$22,016","$59,958","$96,000",71%,1120-1310,24-29,www.luc.edu
#249,Seton Hall University,"South Orange, NJ",Private,"6,260","9,801","$27,563","$24,710","$57,090","$103,800",73%,1140-1280,24-28,www.shu.edu
#250,College of Wooster,"Wooster, OH",Private,"1,980","2,122","$25,442","$30,851","$61,900","$91,300",56%,1150-1380,24-30,wooster.edu
#251,University of Scranton,"Scranton, PA",Private,"3,893","5,373","$35,298","$22,094","$61,096","$99,700",75%,1080-1280,23-28,www.scranton.edu
#252,University of Alabama,"Tuscaloosa, AL",Public,"35,625","38,563","$21,973","$16,494","$46,744","$97,400",53%,1050-1280,23-32,www.ua.edu
#253,College of Saint Benedict,"St. Joseph, MN",Private,"1,937","2,022","$25,020","$28,210","$56,880","$88,600",81%,1010-1220,22-28,www.csbsju.edu
#254,Saint John's University (MN),"Collegeville, MN",Private,"1,815","1,816","$23,977","$27,780","$55,872","$108,400",80%,970-1190,22-27,www.csbsju.edu/About/Saint-Johns-University.htm
#255,California Lutheran University,"Thousand Oaks, CA",Private,"3,207","4,236","$25,871","$27,282","$59,877","$95,000",73%,1060-1230,21-27,www.callutheran.edu
#256,"Embry-Riddle Aeronautical University, Prescott","Prescott, AZ",Private,"2,543","2,663","$32,898","$15,756","$51,036","$117,900",77%,1130-1350,23-29,www.prescott.erau.edu
#257,Beloit College,"Beloit, WI",Private,"1,402","1,509","$13,972","$30,344","$59,442","$85,700",54%,N/A,N/A,www.beloit.edu
#258,Western Washington University,"Bellingham, WA",Public,"15,915","16,246","$16,220","$6,500","$38,067","$99,300",85%,1080-1280,22-28,www.wwu.edu
#259,Rockhurst University,"Kansas City, MO",Private,"2,176","3,043","$22,901","$26,031","$51,631","$92,500",72%,1050-1230,22-27,www.rockhurst.edu
#260,University of Kansas,"Lawrence, KS",Public,"20,894","27,625","$18,814","$9,205","$41,074","$98,600",93%,N/A,23-28,www.ku.edu
#261,Oregon State University,"Corvallis, OR",Public,"29,777","30,896","$20,493","$8,263","$44,706","$104,800",79%,1070-1300,22-28,oregonstate.edu
#262,"University of Maryland, Baltimore County","Baltimore, MD",Public,"12,702","13,662","$20,539","$9,402","$41,674","$103,600",60%,1140-1360,24-29,https://www.umbc.edu
#263,Point Loma Nazarene University,"San Diego, CA",Private,"3,313","4,417","$31,452","$16,687","$49,844","$90,100",76%,1100-1290,23-28,https://www.pointloma.edu
#264,Wheaton College (MA),"Norton, MA",Private,"1,688","1,695","$27,875","$31,592","$65,818","$97,500",48%,1150-1350,26-30,wheatoncollege.edu
#265,New School,"New York, NY",Private,"8,911","10,389","$40,819","$19,358","$69,475","$101,700",62%,1100-1310,24-28,www.newschool.edu
#266,Calvin University,"Grand Rapids, MI",Private,"3,840","4,232","$25,596","$18,532","$46,790","$91,100",83%,1100-1330,23-30,https://www.calvin.edu
#267,Christopher Newport University,"Newport News, VA",Public,"5,001","5,081","$22,351","$5,737","$41,876","$87,200",72%,N/A,N/A,cnu.edu
#268,New Jersey Institute of Technology,"Newark, NJ",Public,"9,366","11,446","$19,409","$13,782","$51,518","$121,300",61%,1190-1370,24-30,www.njit.edu
#269,Juniata College,"Huntingdon, PA",Private,"1,495","1,638","$24,795","$29,639","$58,165","$93,100",71%,N/A,N/A,www.juniata.edu
#270,College of the Ozarks,"Point Lookout, MO",Private,"1,508","1,773","$8,352","$15,362","$29,539","$71,100",13%,1088-1235,21-26,www.cofo.edu
#271,University of Arkansas,"Fayetteville, AR",Public,"24,344","27,558","$16,069","$6,629","$40,162","$98,000",66%,1110-1280,23-29,www.uark.edu
#272,"California State University, Long Beach","Long Beach, CA",Public,"34,415","37,622","$9,423","$8,454","$35,946","$101,700",28%,1020-1230,20-26,www.csulb.edu
#273,"California State Polytechnic University, Pomona","Pomona, CA",Public,"24,747","26,053","$13,068","$7,957","$37,937","$110,800",55%,1010-1230,20-27,www.csupomona.edu
#274,"CUNY, Queens College","Queens, NY",Public,"19,866","20,379","$3,318","$9,104","$35,692","$96,700",43%,1060-1220,N/A,www.qc.cuny.edu/Pages/home.aspx
#275,University of Redlands,"Redlands, CA",Private,"3,556","4,898","$29,520","$30,419","$67,024","$102,400",75%,1070-1250,23-28,www.redlands.edu
#276,Michigan Technological University,"Houghton, MI",Public,"6,148","7,292","$15,481","$11,959","$46,344","$116,300",74%,1160-1340,25-30,www.mtu.edu
#277,New College of Florida,"Sarasota, FL",Public,859,885,"$10,248","$9,341","$43,678","$86,500",69%,1190-1380,25-30,www.ncf.edu
#278,University of Dallas,"Irving, TX",Private,"1,505","2,510","$23,663","$25,952","$54,876","$96,400",47%,1140-1370,24-31,www.udallas.edu
#279,"University of Illinois, Chicago","Chicago, IL",Public,"19,476","30,539","$13,866","$13,415","$43,518","$103,800",77%,1080-1330,20-26,www.uic.edu/uic
#280,Wabash College,"Crawfordsville, IN",Private,848,864,"$21,870","$28,547","$54,600","$114,400",63%,1070-1280,23-28,www.wabash.edu
#281,Washington College,"Chestertown, MD",Private,"1,484","1,520","$28,943","$26,844","$61,010","$93,500",48%,N/A,N/A,www.washcoll.edu
#282,Saint Michael's College,"Colchester, VT",Private,"2,077","2,126","$30,142","$23,373","$57,560","$98,500",85%,N/A,N/A,www.smcvt.edu
#283,The Catholic University of America,"Washington, DC",Private,"3,323","6,023","$32,731","$24,577","$62,482","$105,100",83%,N/A,N/A,www.cua.edu
#284,Massachusetts Maritime Academy,"Buzzards Bay, MA",Public,"1,780","1,811","$18,027","$10,571","$43,085","$117,500",83%,1040-1200,21-25,https://www.maritime.edu
#285,Siena College,"Loudonville, NY",Private,"3,226","3,288","$27,588","$24,332","$53,855","$101,500",78%,N/A,N/A,www.siena.edu/pages/1.asp
#286,Bennington College,"Bennington, VT",Private,782,851,"$29,815","$35,753","$70,760","$90,000",57%,N/A,N/A,www.bennington.edu/Home.aspx
#287,John Carroll University,"University Heights, OH",Private,"3,273","3,545","$25,017","$25,797","$55,820","$97,300",85%,1000-1140,22-27,sites.jcu.edu
#288,Saint Mary's College (IN),"Notre Dame, IN",Private,"1,637","1,690","$23,244","$25,970","$55,200","$89,300",78%,1030-1250,23-29,https://www.saintmarys.edu
#289,Seattle Pacific University,"Seattle, WA",Private,"3,359","3,783","$30,299","$23,350","$56,485","$103,400",91%,1060-1280,21-27,www.spu.edu
#290,"University at Albany, SUNY","Albany, NY",Public,"14,939","17,743","$18,093","$9,096","$40,562","$101,700",54%,1080-1260,22-26,www.albany.edu
#291,Messiah College,"Mechanicsburg, PA",Private,"2,866","3,331","$27,200","$18,110","$47,930","$93,100",77%,1100-1310,22-29,www.messiah.edu
#292,Hofstra University,"Hempstead, NY",Private,"7,438","11,131","$32,240","$24,541","$61,260","$110,400",64%,1130-1310,24-29,hofstra.edu
#293,Biola University,"La Mirada, CA",Private,"4,256","6,172","$31,492","$18,028","$54,516","$92,500",72%,1063-1298,21-28,www.biola.edu
#294,Duquesne University,"Pittsburgh, PA",Private,"6,467","9,190","$28,961","$19,545","$52,108","$96,100",72%,1120-1270,24-29,www.duq.edu
#295,San Jose State University,"San Jose, CA",Public,"27,394","35,835","$14,627","$8,545","$40,046","$114,700",67%,1000-1210,19-26,www.sjsu.edu
#296,Ursinus College,"Collegeville, PA",Private,"1,507","1,576","$29,219","$32,962","$66,242","$101,800",78%,1110-1310,24-30,www.ursinus.edu
#297,Saint Mary's College of California,"Moraga, CA",Private,"3,018","3,913","$33,570","$29,572","$65,524","$110,800",82%,1060-1240,22-27,www.stmarys-ca.edu
#298,Regis University,"Denver, CO",Private,"5,127","8,341","$23,672","$21,367","$51,202","$94,800",60%,1070-1266,20-26,www.regis.edu
#299,Temple University,"Philadelphia, PA",Public,"31,739","39,967","$23,366","$10,739","$44,190","$95,900",57%,N/A,N/A,www.temple.edu
#300,"California State University, Fullerton","Fullerton, CA",Public,"38,279","40,905","$8,737","$8,436","$39,222","$98,400",46%,1020-1180,19-24,www.fullerton.edu
#301,"CUNY, Hunter College","New York, NY",Public,"20,626","23,005","$3,170","$8,039","$29,454","$94,500",40%,1120-1290,N/A,www.hunter.cuny.edu/main
#302,Ohio Northern University,"Ada, OH",Private,"2,310","3,088","$23,100","$20,796","$46,118","$103,900",66%,1130-1310,22-28,www.onu.edu
#303,Maryland Institute College of Art,MD,Private,"2,041","2,128","$38,763","$18,939","$62,850","$84,500",62%,1060-1290,24-29,N/A
#304,Bradley University,"Peoria, IL",Private,"4,669","5,844","$24,814","$19,250","$46,680","$104,900",71%,1080-1290,22-28,www.bradley.edu
#305,Appalachian State University,"Boone, NC",Public,"17,811","18,811","$13,691","$8,312","$33,819","$82,700",70%,1100-1270,23-27,www.appstate.edu
#306,University of Houston,"Houston, TX",Public,"40,813","45,364","$16,392","$9,530","$37,306","$103,900",61%,1110-1280,23-27,www.uh.edu
#307,Transylvania University,"Lexington, KY",Private,966,983,"$25,405","$21,960","$50,550","$85,600",95%,N/A,N/A,https://www.transy.edu
#308,University of Kentucky,"Lexington, KY",Public,"23,718","29,465","$18,527","$9,387","$45,634","$96,400",96%,1080-1330,22-28,www.uky.edu
#309,California State University Maritime Academy,"Vallejo, CA",Public,"1,090","1,181","$16,416","$7,716","$39,962","$129,600",66%,N/A,N/A,https://www.csum.edu/web/mycampus/home;jsessionid=788be41b906ebd9485432c0ba641d830
#310,Presbyterian College,"Clinton, SC",Private,"1,135","1,280","$18,504","$31,372","$51,910","$89,900",65%,1020-1250,21-27,www.presby.edu
#311,Texas Tech University,"Lubbock, TX",Public,"32,154","36,996","$17,134","$6,632","$33,425","$106,500",69%,1070-1240,22-27,www.texastech.edu
#312,"Embry-Riddle Aeronautical University, Daytona Beach","Daytona Beach, FL",Private,"5,777","6,338","$33,120","$15,100","$51,828","$111,200",75%,1080-1310,22-28,daytonabeach.erau.edu
#313,University of Cincinnati,"Cincinnati, OH",Public,"28,857","37,155","$22,828","$7,045","$44,490","$97,300",76%,1120-1340,23-28,www.uc.edu
#314,Hampden-Sydney College,"Hampden-Sydney, VA",Private,"1,046","1,054","$31,337","$26,751","$60,360","$108,600",55%,1050-1265,21-27,www.hsc.edu
#315,Southwestern University,"Georgetown, TX",Private,"1,396","1,536","$24,993","$25,506","$54,330","$93,500",43%,1110-1320,23-29,www.southwestern.edu
#316,Whitworth University,"Spokane, WA",Private,"2,342","2,627","$28,229","$26,020","$57,824","$88,800",89%,1090-1310,23-29,www.whitworth.edu
#317,Franciscan University of Steubenville,"Steubenville, OH",Private,"2,230","2,929","$23,699","$10,971","$37,790","$86,200",83%,1080-1300,23-28,www.franciscan.edu
#318,Belmont University,"Nashville, TN",Private,"6,636","8,012","$34,819","$13,488","$50,740","$80,900",81%,1140-1310,24-29,www.belmont.edu
#319,Saint Anselm College,"Manchester, NH",Private,"1,964","1,995","$31,268","$23,338","$56,846","$100,300",76%,1140-1300,24-28,www.anselm.edu
#320,Towson University,"Towson, MD",Public,"21,615","22,705","$17,893","$8,815","$38,754","$91,200",77%,1055-1210,21-25,www.towson.edu
#321,University of Evansville,"Evansville, IN",Private,"2,516","2,537","$20,517","$26,391","$50,868","$89,900",70%,1020-1255,22-29,www.evansville.edu
#322,Earlham College,"Richmond, IN",Private,"1,072","1,128","$19,454","$36,987","$58,670","$88,400",52%,1190-1400,25-30,earlham.edu
#323,College of Charleston,"Charleston, SC",Public,"10,863","11,322","$19,311","$9,018","$48,057","$85,100",80%,1070-1230,22-27,www.cofc.edu
#324,Dordt University,"Sioux Center, IA",Private,"1,533","1,579","$23,792","$16,673","$43,800","$89,600",72%,1050-1320,22-28,www.dordt.edu
#325,Xavier University,"Cincinnati, OH",Private,"4,893","6,786","$30,019","$20,690","$52,380","$94,000",74%,1060-1240,22-28,www.xavier.edu
#326,Milwaukee School of Engineering,"Milwaukee, WI",Private,"2,779","2,823","$21,328","$25,716","$52,046","$117,600",63%,1153-1360,25-30,www.msoe.edu/home
#327,Pacific Lutheran University,"Tacoma, WA",Private,"2,942","3,122","$24,034","$26,984","$54,800","$98,100",75%,1040-1270,21-27,www.plu.edu
#328,Pratt Institute,"Brooklyn, NY",Private,"4,050","5,035","$43,969","$20,362","$65,308","$102,300",57%,1040-1290,24-29,https://www.pratt.edu
#329,Kettering University,"Flint, MI",Private,"2,129","2,311","$37,247","$18,564","$59,227","$125,000",70%,1190-1350,24-29,https://www.kettering.edu
#330,St. Joseph's College (NY),"Brooklyn, NY",Private,"1,085","1,176","$16,973","$14,686","$39,050","$86,900",68%,868-1060,18-22,www.sjcny.edu
#331,Knox College,"Galesburg, IL",Private,"1,356","1,376","$22,998","$29,331","$56,554","$95,400",72%,N/A,N/A,www.knox.edu
#332,Master's University,"Santa Clarita, CA",Private,"1,551","1,946","$26,292","$18,498","$47,766","$86,600",66%,1030-1240,20-23,www.masters.edu
#333,SUNY Maritime College,"Throggs Neck, NY",Public,"1,778","1,794","$18,413","$7,134","$34,958","$140,700",69%,1100-1253,22-26,www.sunymaritime.edu
#334,"University of Wisconsin, La Crosse","La Crosse, WI",Public,"10,480","10,548","$14,424","$2,975","$26,055","$88,300",73%,N/A,22-26,www.uwlax.edu
#335,"California State University, Chico","Chico, CA",Public,"17,732","17,875","$14,703","$8,615","$36,300","$105,100",68%,990-1170,19-25,www.csuchico.edu
#336,"University of North Carolina, Wilmington","Wilmington, NC",Public,"16,060","16,487","$18,093","$5,471","$38,678","$80,500",67%,1185-1310,23-27,uncw.edu
#337,Rochester Institute of Technology,"Rochester, NY",Private,"15,217","16,584","$30,187","$21,055","$54,714","$106,600",57%,1190-1380,26-32,www.rit.edu
#338,Wagner College,"Staten Island, NY",Private,"1,858","2,271","$30,106","$26,903","$62,203","$105,900",70%,N/A,N/A,wagner.edu
#339,Hendrix College,"Conway, AR",Private,"1,249","1,354","$20,695","$35,974","$60,096","$90,300",80%,1100-1410,24-31,www.hendrix.edu
#340,Illinois State University,"Normal, IL",Public,"20,115","20,784","$21,345","$9,124","$40,036","$95,000",89%,N/A,21-26,www.illinoisstate.edu
#341,Ramapo College of New Jersey,"Mahwah, NJ",Public,"6,120","6,466","$21,316","$11,907","$39,973","$95,200",57%,1050-1230,21-26,https://www.ramapo.edu
#342,Westminster College (UT),"Salt Lake City, UT",Private,"2,422","2,570","$21,109","$20,070","$47,784","$92,200",93%,1060-1267,21-28,https://www.westminstercollege.edu
#343,Mills College,"Oakland, CA",Private,869,"1,310","$24,558","$35,560","$63,767","$91,200",87%,N/A,N/A,www.mills.edu
#344,Luther College,"Decorah, IA",Private,"2,053","2,214","$25,273","$26,533","$54,045","$85,900",65%,1023-1305,23-28,www.luther.edu
#345,Virginia Commonwealth University,"Richmond, VA",Public,"26,355","30,675","$21,655","$9,187","$51,204","$88,200",84%,1070-1260,21-27,www.vcu.edu
#346,St. Norbert College,"De Pere, WI",Private,"2,162","2,165","$24,930","$20,123","$48,110","$88,700",79%,1110-1230,22-27,www.snc.edu
#347,University of Wyoming,"Laramie, WY",Public,"10,874","12,397","$13,070","$7,422","$31,387","$98,800",97%,1040-1290,22-27,www.uwyo.edu
#348,Austin College,"Sherman, TX",Private,"1,228","1,288","$21,011","$29,820","$53,784","$93,100",52%,1160-1360,23-29,www.austincollege.edu
#349,"University of Nevada, Reno","Reno, NV",Public,"20,196","21,657","$14,505","$5,672","$38,398","$95,000",88%,1070-1260,21-26,www.unr.edu
#350,Simmons College,"Boston, MA",Private,"1,825","6,283","$28,308","$26,660","$58,230","$94,300",60%,1130-1310,24-29,www.simmons.edu
#351,Allegheny College,"Meadville, PA",Private,"1,802","1,957","$22,927","$33,282","$61,120","$93,500",68%,1140-1320,23-29,allegheny.edu
#352,Bethel University,"Saint Paul, MN",Private,"3,006","3,797","$27,151","$19,821","$50,350","$85,700",83%,1030-1360,21-27,www.bethel.edu
#353,Adelphi University,"Garden City, NY",Private,"5,768","7,978","$28,322","$20,425","$56,358","$96,400",73%,1060-1240,22-27,www.adelphi.edu
#354,"SUNY, College at New Paltz","New Paltz, NY",Public,"7,565","7,709","$16,192","$8,061","$34,080","$85,200",44%,1100-1260,23-28,www.newpaltz.edu
#355,Wentworth Institute of Technology,"Boston, MA",Private,"4,457","4,543","$36,690","$13,455","$54,071","$112,700",92%,1080-1270,22-28,https://wit.edu
#356,Drew University,"Madison, NJ",Private,"1,678","2,117","$26,218","$35,351","$66,486","$95,000",63%,N/A,N/A,www.drew.edu
#357,Gordon College,"Wenham, MA",Private,"1,784","1,963","$28,240","$17,558","$49,940","$91,300",89%,1050-1290,22-29,www.gordon.edu
#358,Oklahoma State University,"Stillwater, OK",Public,"23,241","25,295","$14,824","$9,874","$38,686","$98,600",74%,1070-1260,22-28,okstate.edu
#359,Millsaps College,"Jackson, MS",Private,859,871,"$22,292","$29,468","$55,322","$88,700",49%,1110-1320,22-28,www.millsaps.edu
#360,Georgia College &amp; State University,"Milledgeville, GA",Public,"6,804","6,952","$19,686","$7,252","$46,834","$80,300",79%,1100-1260,23-27,www.gcsu.edu
