Rank,Name,City & State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Composite Range,ACT Composite Range,Website
#42,Washington and Lee University,"Lexington, VA",Private,"1,855","2,220","$24,761","$39,671","$65,950","$123,200",22%,1350-1490,31-33,www.wlu.edu
#43,United States Air Force Academy,"Colorado Springs, CO",Public,"4,237","4,276",$0,N/A,$0,"$138,100",12%,1210-1390,28-32,www.usafa.af.mil
#44,Wellesley College,"Wellesley, MA",Private,"2,508","2,688","$23,188","$45,777","$69,034","$106,200",22%,1360-1530,30-33,www.wellesley.edu
#45,"University of North Carolina, Chapel Hill","Chapel Hill, NC",Public,"19,429","29,911","$14,163","$17,291","$51,152","$100,800",24%,1270-1460,28-33,www.unc.edu
#46,Colgate University,"Hamilton, NY",Private,"2,894","3,025","$23,310","$45,108","$69,860","$130,600",28%,1310-1500,31-33,www.colgate.edu
#47,College of William &amp; Mary,"Williamsburg, VA",Public,"6,822","8,740","$19,720","$18,738","$59,012","$108,900",36%,1300-1480,29-33,www.wm.edu
#48,Davidson College,"Davidson, NC",Private,"1,810","1,959","$21,206","$36,359","$66,678","$106,900",20%,1310-1470,30-33,www.davidson.edu
#49,Haverford College,"Haverford, PA",Private,"1,296","1,326","$26,607","$45,805","$71,614","$112,300",20%,1390-1530,31-34,www.haverford.edu
#50,Barnard College,"New York, NY",Private,"2,544","2,668","$25,007","$44,776","$71,282","$109,800",15%,1310-1500,30-33,barnard.edu
#51,Santa Clara University,"Santa Clara, CA",Private,"5,754","8,629","$33,738","$26,671","$69,439","$134,700",54%,1270-1440,28-32,www.scu.edu
#52,Carleton College,"Northfield, MN",Private,"2,078","2,155","$27,898","$38,342","$68,835","$109,900",21%,1360-1530,31-34,www.carleton.edu
#53,United States Coast Guard Academy,"New London, CT",Public,896,"1,044",$0,N/A,$0,"$118,100",15%,1180-1343,26-31,www.uscga.edu
#54,Pitzer College,"Claremont, CA",Private,"1,074","1,087","$28,423","$41,257","$70,500","$96,600",16%,N/A,N/A,www.pitzer.edu
#55,Emory University,"Atlanta, GA",Private,"7,859","14,263","$26,760","$38,213","$66,950","$110,800",22%,1350-1520,30-33,www.emory.edu
#56,Wake Forest University,"Winston-Salem, NC",Private,"5,068","8,116","$33,382","$42,495","$69,130","$114,800",28%,N/A,N/A,www.wfu.edu
#57,Lafayette College,"Easton, PA",Private,"2,569","2,594","$30,820","$39,957","$68,640","$122,500",31%,1260-1440,28-31,www.lafayette.edu
#58,Cooper Union,"New York, NY",Private,921,946,"$14,564","$32,452","$65,045","$126,200",13%,1310-1530,28-34,cooper.edu
#59,Hamilton College,"Clinton, NY",Private,"1,901","2,043","$24,140","$43,611","$67,670","$108,100",24%,1360-1510,31-33,www.hamilton.edu/index.cfm
#60,Scripps College,"Claremont, CA",Private,"1,083","1,092","$30,974","$31,633","$71,060","$98,600",33%,1290-1460,29-33,www.scrippscollege.edu
#61,Vassar College,"Poughkeepsie, NY",Private,"2,353","2,572","$23,687","$44,517","$70,370","$100,100",24%,1330-1500,30-33,www.vassar.edu
#62,Babson College,"Babson Park, MA",Private,"2,354","3,329","$35,540","$36,717","$68,432","$133,800",24%,1230-1410,27-32,www.babson.edu
#63,"University of Maryland, College Park","College Park, MD",Public,"32,022","40,521","$18,517","$8,955","$49,698","$113,400",45%,1280-1470,29-33,www.umd.edu
#64,"University of Washington, Seattle","Seattle, WA",Public,"38,781","46,166","$12,899","$14,051","$51,159","$112,300",46%,1190-1420,27-32,uw.edu
#65,Georgia Institute of Technology,"Atlanta, GA",Public,"17,223","29,376","$13,291","$12,779","$49,366","$133,400",23%,1090-1520,30-34,www.gatech.edu
#66,United States Merchant Marine Academy,"Kings Point, NY",Public,912,975,"$6,758","$3,597","$8,646","$140,700",22%,1210-1280,26-28,www.usmma.edu
#67,Lehigh University,"Bethlehem, PA",Private,"5,337","7,017","$34,212","$36,014","$65,925","$134,100",25%,1270-1430,29-32,www4.lehigh.edu/default.aspx
#68,"University of Illinois, Urbana-Champaign","Champaign, IL",Public,"35,476","48,216","$18,377","$13,595","$46,202","$115,300",62%,1340-1500,26-32,illinois.edu
#69,"University of Wisconsin, Madison","Madison, WI",Public,"33,863","42,977","$19,880","$6,733","$49,885","$104,400",54%,1280-1450,27-31,www.wisc.edu
#70,University of Florida,"Gainesville, FL",Public,"37,851","52,669","$12,345","$6,636","$43,409","$102,800",42%,1240-1400,28-32,www.ufl.edu
#71,Kenyon College,"Gambier, OH",Private,"1,677","1,795","$30,504","$34,966","$69,180","$103,800",34%,1263-1460,29-33,www.kenyon.edu/index.xml
#72,Villanova University,"Villanova, PA",Private,"7,873","10,967","$41,858","$30,163","$68,231","$119,500",36%,1250-1440,30-33,www.villanova.edu
#73,Bucknell University,"Lewisburg, PA",Private,"3,678","3,740","$40,976","$29,783","$70,125","$122,900",31%,1250-1420,28-31,www.bucknell.edu
#74,Boston University,"Boston, MA",Private,"22,829","33,355","$37,065","$34,156","$70,302","$113,600",25%,1300-1480,29-32,www.bu.edu
#75,Colby College,"Waterville, ME",Private,"1,917","2,032","$20,739","$45,463","$68,582","$103,300",16%,1340-1500,31-33,www.colby.edu
#76,"University of Texas, Austin","Austin, TX",Public,"42,827","51,525","$16,960","$10,644","$51,786","$112,800",36%,1220-1460,26-33,www.utexas.edu
#77,College of the Holy Cross,"Worcester, MA",Private,"2,806","2,855","$34,159","$36,963","$66,220","$114,600",40%,N/A,N/A,www.holycross.edu
#78,George Washington University,"Washington, DC",Private,"12,358","27,973","$31,956","$29,429","$69,368","$115,300",41%,1280-1440,29-32,www.gwu.edu
#79,"University of California, San Diego","San Diego, CA",Public,"29,613","35,772","$14,630","$18,231","$60,177","$123,700",34%,1210-1410,27-33,www.ucsd.edu
#80,Grinnell College,"Grinnell, IA",Private,"1,712","1,765","$22,844","$33,946","$66,214","$96,500",29%,1310-1510,30-34,www.grinnell.edu
#81,Smith College,"Northampton, MA",Private,"2,594","2,918","$24,829","$39,913","$69,563","$98,200",32%,N/A,N/A,www.smith.edu
#82,University of Rochester,"Rochester, NY",Private,"6,905","11,648","$30,480","$30,658","$70,108","$112,700",34%,1300-1490,29-33,www.rochester.edu
#83,University of Richmond,"Richmond, VA",Private,"3,815","4,023","$26,264","$38,394","$64,890","$107,500",33%,1270-1460,29-32,www.richmond.edu
#84,"University of California, Santa Barbara","Santa Barbara, CA",Public,"22,910","25,057","$15,764","$19,558","$64,125","$116,300",33%,1190-1400,28-33,www.ucsb.edu
#85,Oberlin College,"Oberlin, OH",Private,"2,853","3,030","$31,331","$28,876","$71,330","$96,800",34%,1280-1450,28-33,www.oberlin.edu
#86,Macalester College,"St. Paul, MN",Private,"2,136","2,249","$26,865","$33,335","$66,280","$100,400",41%,1300-1480,29-32,www.macalester.edu
#87,"University of California, Irvine","Irvine, CA",Public,"28,947","35,242","$13,376","$18,824","$61,872","$116,000",37%,1170-1350,25-32,www.uci.edu
#88,"University of California, Davis","Davis, CA",Public,"31,437","37,380","$15,737","$18,690","$63,743","$112,600",43%,1130-1360,25-32,www.ucdavis.edu
#89,Whitman College,"Walla Walla, WA",Private,"1,510","1,574","$43,488","$23,828","$64,504","$102,600",52%,1140-1380,28-32,www.whitman.edu
#90,University of Miami (FL),"Coral Gables, FL",Private,"12,002","17,003","$29,184","$20,647","$66,274","$99,600",36%,1230-1420,28-32,www.miami.edu
#91,Southern Methodist University,"Dallas, TX",Private,"6,917","11,789","$32,190","$33,203","$72,408","$110,400",49%,1270-1440,28-32,www.smu.edu
#92,Colorado College,"Colorado Springs, CO",Private,"2,118","2,450","$34,032","$36,872","$68,616","$97,900",15%,N/A,N/A,www.coloradocollege.edu
#93,Worcester Polytechnic Institute,"Worcester, MA",Private,"4,654","6,642","$40,376","$19,515","$65,046","$135,500",48%,N/A,N/A,www.wpi.edu
#94,Colorado School of Mines,"Golden, CO",Public,"4,811","6,209","$25,710","$10,725","$52,698","$139,600",56%,1310-1450,28-32,www.mines.edu
#95,Brigham Young University,"Provo, UT",Private,"34,334","35,807","$12,974","$4,843","$18,370","$108,000",52%,1210-1410,27-32,www.byu.edu
#96,Brandeis University,"Waltham, MA",Private,"3,869","5,721","$31,138","$35,487","$70,943","$113,200",34%,1280-1470,29-33,www.brandeis.edu
#97,Yeshiva University,"New York, NY",Private,"2,884","6,330","$36,306","$26,972","$60,525","$112,800",63%,1160-1420,23-29,www.yu.edu
#98,"University of Minnesota, Twin Cities","Minneapolis, MN",Public,"45,796","51,848","$17,396","$8,760","$39,655","$104,000",50%,1270-1480,26-31,www.umn.edu
#99,University of Georgia,"Athens, GA",Public,"30,690","37,606","$14,625","$10,076","$44,978","$100,700",54%,1200-1370,26-31,www.uga.edu
#100,Case Western Reserve University,"Cleveland, OH",Private,"5,292","11,824","$35,316","$28,295","$65,384","$117,800",33%,1340-1520,30-33,www.case.edu
